Year,Група,Value
2017,"Виробництво какао, шоколаду та цукрових кондитерських виробів",106.5
2018,"Виробництво какао, шоколаду та цукрових кондитерських виробів",107.7
2019,"Виробництво какао, шоколаду та цукрових кондитерських виробів",111.3
2020,"Виробництво какао, шоколаду та цукрових кондитерських виробів",98.8
2021,"Виробництво какао, шоколаду та цукрових кондитерських виробів",100.7
2022,"Виробництво какао, шоколаду та цукрових кондитерських виробів",73.5
2023,"Виробництво какао, шоколаду та цукрових кондитерських виробів",116.7
2015,Виробництво чаю та кави,93.6
2016,Виробництво чаю та кави,103.6
2017,Виробництво чаю та кави,95.1
2018,Виробництво чаю та кави,104.0
2019,Виробництво чаю та кави,97.3
2020,Виробництво чаю та кави,93.2
2021,Виробництво чаю та кави,106.8
2022,Виробництво чаю та кави,65.3
2023,Виробництво чаю та кави,103.3
2015,Виробництво прянощів і приправ,84.2
2016,Виробництво прянощів і приправ,100.8
2017,Виробництво прянощів і приправ,103.3
2018,Виробництво прянощів і приправ,100.0
2019,Виробництво прянощів і приправ,101.6
2020,Виробництво прянощів і приправ,104.4
2021,Виробництво прянощів і приправ,95.5
2022,Виробництво прянощів і приправ,70.0
2023,Виробництво прянощів і приправ,105.0
2015,"Виробництво інших харчових продуктів, н.в.і.у.",74.7
2016,"Виробництво інших харчових продуктів, н.в.і.у.",93.8
2017,"Виробництво інших харчових продуктів, н.в.і.у.",102.3
2018,"Виробництво інших харчових продуктів, н.в.і.у.",104.9
2019,"Виробництво інших харчових продуктів, н.в.і.у.",64.1
2020,"Виробництво інших харчових продуктів, н.в.і.у.",92.6
2021,"Виробництво інших харчових продуктів, н.в.і.у.",89.7
2022,"Виробництво інших харчових продуктів, н.в.і.у.",79.8
2023,"Виробництво інших харчових продуктів, н.в.і.у.",120.5
