Year,Область,Value
2022,Чернігівська,77.0
2023,Чернігівська,64.0
2015,місто Київ,100.0
2016,місто Київ,105.0
2017,місто Київ,106.0
2018,місто Київ,91.0
2019,місто Київ,86.0
2020,місто Київ,106.0
2021,місто Київ,74.0
2022,місто Київ,78.0
2023,місто Київ,125.0
