Year,Види економічної діяльності,включаючи,Value
2018,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2019,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",19.4
2020,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2021,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2022,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2023,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2015,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",30.3
2016,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",
2017,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",29.1
2018,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",
2019,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",33.9
2020,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",
2021,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",
2022,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",
2023,Переробна промисловість,"виробництво меблів, іншої продукції, ремонт і монтаж машин і устатковання",
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря",,35.2
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря",,
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря",,34.9
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря",,
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря",,34.0
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря",,
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря",,
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря",,
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря",,
2015,"Водопостачання; каналізація, поводження з відходами",,35.3
2016,"Водопостачання; каналізація, поводження з відходами",,
2017,"Водопостачання; каналізація, поводження з відходами",,35.4
2018,"Водопостачання; каналізація, поводження з відходами",,
2019,"Водопостачання; каналізація, поводження з відходами",,36.5
2020,"Водопостачання; каналізація, поводження з відходами",,
2021,"Водопостачання; каналізація, поводження з відходами",,
2022,"Водопостачання; каналізація, поводження з відходами",,
2023,"Водопостачання; каналізація, поводження з відходами",,
2015,Будівництво,,20.8
2016,Будівництво,,
2017,Будівництво,,20.5
2018,Будівництво,,
2019,Будівництво,,22.5
2020,Будівництво,,
2021,Будівництво,,
2022,Будівництво,,
2023,Будівництво,,
2015,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,23.1
2016,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,
2017,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,23.5
